,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
31,Analista Desenvolvedor PHP/LARAVEL/JAVA SCRIPT JR,IVO TECH,"São Paulo, SP",R$ 3.000 - R$ 4.000 por mês,EmployerAtiva 4 dias atrás,2022-05-01,Horário: Horário de 2ª a 6ª - home 2 vezes por semana; Equipamento: Fornecido pela empresa; Modalidades de Contratação: CLT ou PJ Projetos: educacionais para…,https://www.br.indeed.com/company/SUPER-EMPREGOS/jobs/Analista-Desenvolvedor-PHP-Laravel-Java-Script-Junior-220bd83135d8b63f?fccid=01003848ae633a3d&vjs=3
32,Estagiário(a) Desenvolvedor(a) Web,Agência Upper,"São Paulo, SP",R$ 1.500 - R$ 2.000 por mês,Postedhá 19 dias,2022-05-01,"Procuramos profissionais para trabalhar em projetos desenvolvidos em PHP, React Native, JS, CSS, Laravel e HTML.",https://www.br.indeed.com/rc/clk?jk=ce4d30b306996938&fccid=ac0a18a060847670&vjs=3
33,Desenvolvedor(a) Full Stack PHP,LCA Viagens,"São Paulo, SP",R$ 12.000 por mês,Postedhá 30+ dias,2022-05-01,Grade Horária: 44 horas Semanais e 0 folga Semanais.,https://www.br.indeed.com/rc/clk?jk=cbfabe7f3a9d1028&fccid=f5a0a4b34999f549&vjs=3
34,Desenvolvedor(a) PHP Pleno,,"São Paulo, SP",,Postedhá 24 dias,2022-05-01,Descrição da empresa A JHE é uma empresa de engenharia consultiva. Nossa missão define como a área de Tecnologia faz parte fundamental da estratégia: Ter…,https://www.br.indeed.com/rc/clk?jk=5ba012ec5e888812&fccid=dd616958bd9ddc12&vjs=3
35,Desenvolvedor PHP Symfony,LLIÈGE,Estado de São Paulo,,Postedhá 5 dias,2022-05-01,"Framework MVC: Symfony com Sonata, Laravel, RESTe SOA.Atuação em Sistema de gestão pública /ERP.",https://www.br.indeed.com/rc/clk?jk=22ea379a94084b5c&fccid=a6f0938b0c4f96c6&vjs=3
36,Analista Programador PHP,Curriculum.com.br,"São Paulo, SP",,Postedhá 4 dias,2022-05-01,"Requisitos necessários para esse novo desafio: Conhecimento sólidos em algoritmos, estrutura de dados e Design Patterns, Experiência em PHP (Laravel), API, REST…",https://www.br.indeed.com/rc/clk?jk=1ef1b4b2bbff3134&fccid=22d7ce555383096d&vjs=3
37,Desenvolvedor(a) PHP Sênior,,"São Paulo, SP",R$ 12.000 por ano,Postedhá 17 dias,2022-05-01,"Experiência prévia nas linguagens informadas;Experiência com ferramentas de versionamento de código (GIT,...);01 sexta off no mes.",https://www.br.indeed.com/rc/clk?jk=a628a08e617ce220&fccid=dd616958bd9ddc12&vjs=3
38,ANALISTA DE INTEGRAÇÕES SR,Grupo Ri Happy,"Home office in São Paulo, SP",,Postedhá 29 dias,2022-05-01,Terá responsabilidade e autonomia sobre as integrações implementadas.Ser capaz de propor soluções robustas no desenvolvimento de sistemas.,https://www.br.indeed.com/rc/clk?jk=88989440d8247c24&fccid=cdf0ba56bbf9ae96&vjs=3
39,Desenvolvedor Wordpress,INTRANET MALL,"São Paulo, SP",,PostedHoje,2022-05-01,Estamos com uma vaga em aberta para Desenvolver Wordpress.,https://www.br.indeed.com/rc/clk?jk=f0b1a69525d43f24&fccid=10eaa303fb5c21ab&vjs=3
40,Web Designer,OBJETIVA RH,"Home office in São Paulo, SP",,EmployerAtiva 5 dias atrás,2022-05-01,Gerenciamento dos servidores de acordo com o tráfego;Verificar o desempenho dos websites;Instalar os códigos que são enviados pela equipe de tráfego;,https://www.br.indeed.com/company/OBJETIVA-RH/jobs/Web-Designer-6af9e76b8d63e336?fccid=79c7e97487fb7eee&vjs=3
41,Programador para html5 e css (front-end),,"São Paulo, SP",,Postedhá 29 dias,2022-05-01,Freela para codificação de livros digitais em HTML5 e CSS.,https://www.br.indeed.com/rc/clk?jk=5fa558e3c0a0b1bf&fccid=dd616958bd9ddc12&vjs=3
42,Bolsa Treinamento Técnico TT-5 Especialista em Informática,IFT-UNESP,"São Paulo, SP",R$ 8.468 por mês,EmployerAtiva 3 dias atrás,2022-05-01,"A implantação será feita em colaboração com o instituto ICTP em Trieste, Itália (www.ictp.it).",https://www.br.indeed.com/company/ICTP--SAIFR/jobs/Bolsa-Treinamento-T%C3%A9cnico-Tt-Especialista-Inform%C3%A1tica-6988687584719999?fccid=354cd46341f3ee9b&vjs=3
43,Programador Pleno,Esferas Software,"Home office in São Paulo, SP",R$ 5.000 por mês,Postedhá 3 dias,2022-05-01,"Buscamos por alguém autodidata, com lógica de programação avançada e que possa trabalhar no sistema híbrido (geralmente 1 vez por semana presencial).",https://www.br.indeed.com/company/Esferas-Software/jobs/Programador-Pleno-4d16b6d91322e6c4?fccid=36e419d01e34ff6e&vjs=3
44,Desenvolvedor,Aquila Company,"São Paulo, SP",,Postedhá 3 dias,2022-05-01,"Experiência comprovada sobre desenvolvimento de Sites, eCommerce e Apps;Automatizar processos através do uso da tecnologia, otimizando o trabalho dos…",https://www.br.indeed.com/rc/clk?jk=e9b09736d530e359&fccid=20c14a32fc53d66a&vjs=3
45,Vagas de emprego: Veri Soluções Tecnológicas Ltda,Veri Soluções Tecnológicas Ltda,"São Paulo, SP",R$ 7.500 por mês,EmployerAtiva 3 dias atrás,2022-05-01,Scrapyng em python usando a biblioteca requests.Scrapyng em python usando a biblioteca selenium webdriver.,
46,Vagas de emprego: nstech,nstech,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"O que é a Buonny? Desde a sua fundação, em 1995, a Buonny possui vocação pioneira em tecnologia para gerenciamento de riscos no transporte rodoviário de…",
47,Vagas de emprego: Digital Republic,Digital Republic,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Conhecimento de Wordpress (Criação de temas, plugins, instalação, configuração).Conhecimento de GIT (command line).",
48,RH shopping,RH shopping,"Osasco, SP",R$ 5.968 por mês,Postedhá 30+ dias,2022-05-01,"Realiza correções em sistemas para atender às necessidades dos usuários.Desenvolve trabalhos de montagem, depuração e testes de programas já desenvolvidos.",
49,Konecta Brasil,Konecta Brasil,"São Paulo, SP",,Postedhá 2 dias,2022-05-01,"Trabalho em equipe - Perfil que troque a informação, que pense no time.Que saiba focar no seu trabalho, mas compartilhar o conhecimento; Visão Sistêmica - Boa…",
50,vagas de emprego: São Paulo,,"São Paulo, SP",R$ 7.000 por mês,Postedhá 26 dias,2022-05-01,"Conhecimentos em desenvolvimento nas linguagens PHP / DRUPAL, HTML, CSS, Javascript, SQL, React, JQuery, SEO.Trabalho presencial - Híbrido durante o período de…",
51,Vagas de emprego: IT9 Marketing,IT9 Marketing,"Santo André, SP",,Postedhá 17 dias,2022-05-01,"Disponibilizamos essa oportunidade para Manutenção, Desenvolvimento e operações de nossos clientes. Responsabilidades: Desenvolvimento de funcionalidades no…",
52,Vagas de emprego: Magna Sistemas,Magna Sistemas,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Banco de dados Relacional (SQL).Todas as vagas da MAGNASISTEMAS também estão abertas para pessoas com deficiência (PCD).,
53,Vagas de emprego: PrideLogic,PrideLogic,"Home office in Bela Vista, SP",R$ 30.000 - R$ 40.000 por ano,Postedhá 13 dias,2022-05-01,We are looking for Senior Full Stack PHP/CakePHP engineers who will work with a cross-functional team to build and modernize digital web services.,
54,Vagas de emprego: GeekHunter,GeekHunter,"Taboão da Serra, SP",R$ 10.000 - R$ 10.700 por mês,Postedhá 30+ dias,2022-05-01,Domínio com a linguagem PHP7;Banco de dados Relacional (SQL) .,
55,Buonny,Buonny,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"O que é a Buonny? Desde a sua fundação, em 1995, a Buonny possui vocação pioneira em tecnologia para gerenciamento de riscos no transporte rodoviário de…",
56,Armac,Armac,"Barueri, SP",,Postedhá 30+ dias,2022-05-01,Você irá colaborar no desenvolvimento de soluções para a transformação digital de uma das maiores empresas do país;Tiver brilho nos olhos pelo que faz.,
